accountNumber,accountHolderFirstName,accountHolderLastName,balance,interest
1370702662,Nickey,Sydes,448710.974,0.01
4704060649,Sebastian,Tarply,2508255.565,0.04
2873669759,Eba,Columbell,4224290.433,0.03
9148128896,Barthel,Brandolini,1165978.719,0.02
8421133997,Ashla,Teesdale,656228.4,0.02
1377001444,Agathe,Bridal,1122383.831,0.01
6380023131,Gerard,Latty,3369450.264,0.03
2721798630,Glynnis,Reddlesden,1345805.794,0.04
4685842839,Giuditta,Clawley,4488285.929,0.01
7211736590,Candace,Jachimak,4897709.197,0.04
7096993275,Saudra,Smedmoor,1512427.742,0.03
8516786465,Gunter,Neeson,204809.952,0.04
7868815833,Eleanora,Chrispin,1967340.563,0.04
7753091009,Danica,Van Dalen,1967095.057,0.03
2147233218,Margit,Donalson,4386084.475,0.03
5628829482,Katrine,Heeks,3684428.009,0.01
5083442531,Robina,Partlett,265467.462,0.02
6447931617,Carmencita,Roblou,212972.885,0.02
9223723917,Eldredge,Roscamps,693297.809,0.05
6106061683,Moshe,Barthod,2039235.94,0.03
8026294960,Patricia,Rainbird,4491363.311,0.02
5874401886,Natala,Coulling,1075224.602,0.05
8742222557,Welch,Oxenbury,249340.324,0.02
2865623560,Francois,Clevely,4964950.897,0.03
6440657621,Renaud,Offener,707015.263,0.04
1431726099,Nicol,Chave,2757535.649,0.03
3953489813,Chris,Pavett,1284316.862,0.04
4402302012,Giffie,Dagwell,527426.895,0.01
3032349802,Paule,Holbarrow,3865628.461,0.04
6866651556,Rora,Coulter,82794.878,0.01
1336962157,Mareah,Gagin,252826.629,0.01
5209876346,Shoshana,Becks,4840639.165,0.03
1373441899,Tiffany,Sancho,2338825.457,0.02
7658937928,Caddric,Aleksidze,909832.183,0.03
6643370813,Mollee,Moncreif,3014401.769,0.02
8224690501,Dollie,Richarz,624108.042,0.03
5518681963,Sutton,Orehead,2942808.112,0.04
7107437174,Caren,Lyle,757470.727,0.02
9562613305,Dale,Hayward,3121532.484,0.03
3797594904,Leanora,Ferrers,3203574.949,0.02
8544146956,Gare,Royston,3215271.784,0.02
8192556412,Harriet,Dunkerton,4028793.077,0.04
8540230691,Beret,Gisburne,1291342.024,0.04
6524642705,Calv,Boyne,3783252.669,0.02
4110280688,Wayne,Roblin,227027.034,0.02
4302419916,Carla,Hamelyn,3927584.38,0.02
9143001244,Conrade,Corsor,907525.926,0.02
1820461336,Adelle,Ivanikov,1291938.376,0.03
9771806716,Tierney,Baxstare,227694.724,0.03
6143781961,Paula,Cohan,2709976.588,0.04
5333858059,Pennie,Gelder,2835868.307,0.03
6434183161,Goldy,Austen,163416.726,0.05
5795325536,Kate,Ardern,632375.122,0.01
7648962826,Maurice,Bolderstone,663398.505,0.03
4824843325,Hatti,Rozalski,1973584.862,0.04
6062532343,Laina,Allsop,1843046.399,0.03
2030471407,Jacqueline,Finlow,122306.937,0.04
2123286824,Kylila,Swatheridge,4572462.114,0.03
1533741279,Kariotta,Floyd,4252166.382,0.03
5859250582,Rahal,Gatman,1542269.127,0.03
7472152440,Paulo,Coniff,1627941.842,0.05
9293799848,Bird,Jilliss,4651267.056,0.04
9622608718,Rip,Griffoen,4430632.49,0.03
6483044471,Alexine,Da Costa,1847786.119,0.03
7052867474,Lance,Aked,2124058.956,0.03
8640330660,Sissy,Micka,2484192.651,0.05
6128288445,Allistir,Geram,3512957.117,0.03
2390408679,Kennith,Caltun,4651486.251,0.03
3493983249,Tobey,Valance,4274975.177,0.04
8615039566,Waiter,Kenway,4701501.049,0.04
1696226218,Ignace,Halbeard,1226037.128,0.04
9711625945,Marieann,Peffer,4438877.883,0.02
3252614632,Torie,Tucker,2707431.093,0.01
5013676421,Frederica,Cluderay,938026.633,0.04
3120009668,Ced,Wellington,4659479.302,0.02
4068402537,Franciskus,Lindermann,2151363.974,0.02
1414778337,Leontine,Georghiou,1560483.855,0.02
7191410021,Libby,Breffit,4887099.855,0.01
6365031245,Boyce,McLukie,378029.05,0.04
6731842132,Jackie,Nicol,1874690.614,0.05
2930068276,Samson,Sach,1873138.044,0.05
2504384846,Tymothy,Wackley,3348139.606,0.01
5989523352,Pren,Perrott,1655238.594,0.03
5228230879,Hanny,Klousner,1464174.669,0.05
7524444760,Alexandro,Harkes,2275827.597,0.02
9931047732,Kristoffer,Nann,937552.45,0.02
3896688807,Tallou,Pudan,4165848.919,0.03
7342728260,Phillis,Rhydderch,547080.44,0.03
9475994583,Cesya,Jizhaki,511843.16,0.04
8771055515,Hally,Chedzoy,3371394.589,0.02
9687869276,Chevy,Lauritzen,747482.281,0.03
8292190451,Cesaro,Arrighetti,1187297.503,0.02
6577092977,Vonnie,Piggen,3005832.865,0.03
4169143875,Elsie,Plunkett,4323542.43,0.05
3424661257,Trenna,Rapinett,647548.758,0.03
4330992491,Almire,Huzzey,4532316.801,0.04
5529474495,Fonzie,Durtnal,1874601.742,0.03
1157127331,Pammi,Pim,4489474.357,0.02
6843846228,Allyn,Rowsell,3546155.782,0.01
2101826361,Lev,Christensen,4936197.839,0.04
6745095813,Farrand,O'Sullivan,4129831.291,0.01
5907236003,Farlee,Borborough,3830597.756,0.01
3659137551,Vivien,Guido,489047.034,0.01
6166174556,Addy,Allwright,2880738.099,0.04
9875466803,Yul,Rolles,1196567.21,0.02
9746608570,Minetta,Lakin,2936634.297,0.05
3151150265,Iorgos,Larkby,4433487.941,0.05
4257806471,Teresa,MacCheyne,4481993.777,0.05
8719111250,Cilka,Bosley,701087.748,0.02
1686946729,Keene,Avraham,3166685.299,0.04
5736268842,Arlena,Barnhart,3655475.504,0.03
6707856858,Lianna,Ranvoise,3604342.922,0.03
9845213797,Brian,Mugford,3173550.11,0.02
2581584643,Matilda,Quogan,3731168.762,0.02
4787832043,Demetri,Gorring,2442427.667,0.04
1829580546,Korey,Everil,2091797.892,0.04
3865882948,Major,Philipet,1540441.24,0.02
8240893646,Kati,Jeaves,4110373.751,0.03
2815117579,Clarine,Halms,3361750.342,0.02
6150904358,Felicia,Doumic,3490217.809,0.02
5950027163,Uriah,Ganter,529617.178,0.04
6331593551,Rustie,Blincko,3988309.091,0.04
7768236118,Beryle,Budget,4966328.332,0.04
2193285173,Leonid,Saveall,1031393.876,0.05
4505713361,Saunder,Burthom,614729.258,0.01
3152238982,Jackson,Winmill,722111.169,0.05
4905335924,Agatha,Sarten,2419137.243,0.04
7026961143,Becki,Hinchcliffe,4541086.348,0.01
2863319215,Abramo,Leisk,411582.79,0.05
3094793979,Inigo,Checci,450988.997,0.02
1145360084,Kariotta,Priddy,804981.018,0.01
4926321241,Ivory,Meffin,1182401.528,0.02
5332959166,Aldus,Toombes,4787431.975,0.03
6896184413,Farrah,Blankett,4295744.125,0.03
5655858209,Herschel,Phlipon,4906244.348,0.02
4980501425,Reinaldos,Daughton,2329597.774,0.03
3278657829,Huntley,Rapps,472222.302,0.01
1076577922,Darcey,Linne,243103.808,0.04
8453009215,Farlay,Kinsella,3018152.786,0.03
7574351281,Monte,Deighton,2943196.112,0.03
5387496079,Ealasaid,Silverthorne,257139.962,0.04
8425181903,Brigid,Heims,2550822.866,0.02
6921595429,Chantalle,Riglesford,1342874.873,0.02
1478908929,Verge,Scrogges,3455015.455,0.02
8829442049,Peirce,Fancett,463356.749,0.05
9565503201,Wilone,Pohl,4421527.942,0.03
1258684259,Rolph,Woodrow,1902930.496,0.03
3421774255,Simona,Longhorn,3971621.411,0.03
3935965993,Annamarie,Fellona,739540.351,0.02
2435642803,Stephan,Burnes,1516505.058,0.04
5000442283,Zolly,Simmons,4801994.22,0.04
6113062376,Alberta,Thickin,441369.853,0.02
5848690948,Fleur,Fasset,2861043.069,0.02
8441224375,Caryl,Gebbie,524870.185,0.03
1001388391,Pennie,Kidde,2435462.187,0.03
9651924591,Maryellen,Parradine,1542113.176,0.04
5791034062,Klarrisa,Rosewell,148921.096,0.02
8055743829,Elysha,Gouny,1717816.738,0.04
2973639622,Revkah,Causon,2554731.689,0.01
9280582754,Job,Richardeau,793641.61,0.04
3955368320,Aleksandr,Kinkaid,2629609.514,0.04
4740467882,Elsinore,Cowan,3382225.005,0.03
1163443330,Cecilla,Nockles,2230857.874,0.05
7010236759,Brig,Broggelli,1845144.125,0.01
5405671261,Eddi,Thalmann,436711.578,0.05
9140528600,Jasun,Posselow,276874.646,0.03
6949685155,Godiva,Larmett,3200664.764,0.03
1898063620,Andras,Dunford,3157058.022,0.04
1534555199,Orson,Sweatland,1587792.664,0.01
8375722023,Kelsey,Myford,2282382.962,0.05
5315474742,Gratia,Cassey,81615.994,0.01
4121008825,Drusi,Walak,1898473.343,0.04
7255994485,Emlen,Nutley,3013223.67,0.04
9140391018,Dag,Doumerque,101602.411,0.01
5999524239,Corella,Stacy,2768597.154,0.02
2314090572,Andee,Wynter,32919.091,0.05
6378531056,Ulrich,Matyja,2896049.075,0.04
3599081028,Del,Sterley,816987.92,0.02
1785544237,Krystal,Humphrey,2872803.214,0.03
9541553955,Dean,Rittmeier,1439931.043,0.03
2888585675,Carolus,Jeanneau,3830546.243,0.04
8679915884,Bert,Ghelardi,311927.248,0.02
3001475675,Malachi,Lusted,1366755.335,0.05
8131152951,Viviene,Peepall,1431669.818,0.02
2914933524,Allissa,Pole,457679.328,0.02
9189679823,Les,Glave,2902422.35,0.02
5427924907,Georgeta,Blankhorn,1375917.023,0.03
6520165585,Tod,Riall,2908912.498,0.03
8643248977,Merla,Carlisi,970896.004,0.05
6222066119,Leonerd,Rannigan,134864.964,0.02
5526811987,Cassi,Forge,849766.551,0.03
3617444929,Cos,Bartalucci,4038748.174,0.03
9740620772,Leonard,McIlwrath,4058411.251,0.01
7025589280,Blithe,Mawby,3532667.664,0.02
2772178555,Ebeneser,MacClenan,3874614.047,0.02
3644534291,Debera,Sinkins,933059.925,0.04
9185048656,Kellsie,Mateu,1630906.711,0.02
2468421410,Gabey,Bardill,3713155.431,0.01
3542098737,L;urette,Nesby,3539256.727,0.03
3350328404,Westley,Linnock,2120947.618,0.03
5662484678,Skyler,Rains,1297130.915,0.03
6330768421,Sheeree,Mullaly,4351430.417,0.02
8005091206,Malissa,Penning,4935878.04,0.05
6693319703,Tally,Broderick,1238920.339,0.03
9937737193,Broderic,Stapleton,1844995.26,0.04
4020097263,Web,Elmhurst,2351422.178,0.03
1838002271,Arabel,Twells,4738192.545,0.01
2330620711,Zonnya,Yellowlea,252595.703,0.04
6301580675,Dennet,Vogeller,483997.334,0.05
4279730803,Alfons,Akitt,1860357.816,0.01
9452500297,Stavro,Gunningham,4729671.54,0.04
3488877661,Dyana,Dewire,3150160.329,0.04
5517335486,Regine,Piaggia,3024159.776,0.01
1775303535,Glynda,Fawkes,2579254.885,0.05
6122848127,Shirley,Birchenough,2037195.105,0.05
6295761446,Scott,Wilkinson,1702854.654,0.04
6221946838,Meta,Olivetta,4089061.553,0.04
3531627175,Jo ann,O'Cleary,2235978.999,0.02
7030004525,Waverly,Nock,3932549.438,0.03
4045008793,Brendan,Widdows,3163940.627,0.03
2768748148,Cleo,Ulster,3392877.309,0.03
9080852294,Valli,Side,4266391.095,0.02
9677033051,Neda,Grendon,4499931.789,0.03
3499326091,Madelin,Kleinsmuntz,6217.236,0.01
9720862111,Florrie,Riccetti,3302577.916,0.01
1911833143,Kristel,Deners,1217088.474,0.04
5546374113,Idalia,Jerrome,51608.976,0.02
6323562495,Upton,Diloway,4447547.825,0.04
1269800975,Alwin,Hundey,39600.464,0.03
1784043962,Simone,Howse,3036381.736,0.02
5226843113,Duane,Blake,1919802.756,0.03
3593716337,Tandie,Kirrens,1851599.616,0.05
8347215283,Clay,Bridywater,4908113.792,0.05
5116106861,Neville,Samsonsen,50722.171,0.01
6771261317,Everett,MacKeague,4358878.094,0.03
3045507984,Fanny,Healks,1899357.429,0.03
5776477474,Fransisco,Robiot,1688190.635,0.04
5120538201,Aymer,Quan,40360.552,0.03
4992887963,Rena,Vogel,4282070.12,0.01
9707891777,Garnet,Jacklings,1653325.054,0.01
9277502422,Joline,Lammers,2477951.999,0.02
9993756149,Abigail,Rutland,4706668.07,0.04
5245068042,Arabele,Lumsdaine,2937009.933,0.05
3922688866,Flor,Josifovitz,1126948.234,0.03
4718765328,Rodrick,Still,866316.373,0.04
7049621961,Pippo,Alcott,69828.285,0.02
3164645652,Jamison,Roomes,3862527.181,0.03
5325576279,Estrella,Georgeson,2029902.422,0.04
1305515608,Madelle,Ravenscraft,196938.515,0.03
7144194833,Jordanna,Brumby,2631736.027,0.02
9594413801,Hildegarde,Wyllcocks,3544855.461,0.03
4765652631,Lib,Leban,577754.959,0.03
6918664334,Binnie,Collelton,3786149.609,0.04
3183948896,Pamella,Gregorin,4209348.386,0.03
5472526711,Wallis,Vasnetsov,1873554.552,0.05
5745579663,Brier,Franchyonok,3664756.234,0.04
4703012347,Patricio,Rodway,2119073.525,0.02
9859599968,Kriste,Jacquemard,135668.814,0.03
1191314131,Ethelda,Pitkaithly,868974.391,0.02
1490758992,Claretta,O'Cannovane,923460.714,0.04
3353618042,Esmaria,Tetla,198921.764,0.05
6240110468,Nelle,Ranahan,2033329.161,0.04
1208446389,Elroy,Moultrie,4516171.286,0.04
4781990526,Juli,French,2964443.882,0.04
1554181341,Marcile,Cropton,1582051.331,0.02
5746752667,Kare,Luisetti,4987698.521,0.04
9343155879,Boyd,Flecknoe,4709720.646,0.02
8743058326,Whit,Valsler,2879471.263,0.05
7047678514,Aileen,Bomb,3182098.086,0.04
3174036440,Elke,Ahearne,4879133.708,0.03
9851284456,Oliver,Lavell,3484469.589,0.04
2903585082,Byram,Van der Mark,669057.575,0.05
2274298219,Rick,Ivimy,20988.716,0.02
4024430468,Dacey,Bexley,562090.952,0.05
8504685623,Lesly,Pedlingham,2291209.758,0.01
5443342713,Rafaelita,Capinetti,4302738.816,0.05
8900540715,Zerk,Leatherborrow,2160923.321,0.01
2412965410,Wake,Catmull,1195266.907,0.03
1397178209,Petra,Keeler,2581948.964,0.04
6323755624,Denni,Creavin,2865569.877,0.03
4218527102,Saidee,Swannick,4205999.164,0.04
4929131397,Wallis,Bartlett,1787868.861,0.02
1175954987,Tamarra,Theurer,2144179.73,0.03
8801443700,Tildy,Shakesbye,2716220.402,0.02
7740711935,Herb,Rosengart,3815314.842,0.02
3488331249,Adora,Howsan,250140.712,0.03
9808038532,Elberta,Heffernon,178436.461,0.01
4057225566,Malvin,Whittington,3121924.674,0.04
6180155415,Lucian,Pennell,713003.478,0.01
7357328896,Hernando,Allmark,3327230.064,0.04
2633143139,Doralynne,Benettolo,3640014.331,0.05
3954295864,Merline,Laidlaw,4094123.018,0.05
7693752442,Joanie,Kiossel,3051635.38,0.02
6092895339,Cynthie,Brisco,3086232.377,0.03
2514956489,Raffaello,Whyatt,3322069.336,0.03
6300450054,Kenyon,Barnham,1788057.096,0.02
1383406273,Pepita,Oxford,233812.676,0.05
6472094652,Farica,Lamball,3630074.862,0.02
6085922393,Almire,Smaling,2713698.458,0.03
6220885256,Audrey,Riddell,3468669.595,0.03
5146322906,Rakel,De Avenell,793906.203,0.01
9803435171,Florencia,Gallyon,2499308.134,0.01
2296508852,Moselle,Yves,984507.108,0.03
7871787088,Nadine,McMaster,3690410.525,0.05
4992921112,Rudiger,Lufkin,4076882.742,0.01
9903001757,Violette,Hasnip,1963253.466,0.02
1714077283,Mack,Crackett,2786628.508,0.03
3092968823,Alie,Morgans,1902679.65,0.03
7194407248,Fleur,Laminman,978351.942,0.03
8948734770,Sher,Dunnico,2129342.404,0.04
4391804715,Gregor,Compton,2790071.249,0.03
7652585261,Isidora,Angric,1613189.029,0.04
6814680632,Darbie,Preist,4571291.426,0.01
9675578772,Nadiya,De Biaggi,2148502.861,0.01
9398816632,Fidela,Whartonby,4067789.737,0.03
5038013934,Mirna,Ibarra,4172484.001,0.02
9178227665,Gabie,Lissenden,4496481.65,0.04
6207415766,Andrus,Quinell,4633211.862,0.04
7400809573,Hedvige,Shawyer,3472397.311,0.03
9553412210,Ardella,Kinton,1500171.128,0.04
4408666590,Brad,Varsey,3164085.422,0.04
9625608896,Ruprecht,Matic,2280458.509,0.02
5780779300,Leopold,Kuhnke,1426134.743,0.05
5688816700,Astrix,Djokic,2517420.793,0.02
2231413369,Mab,Cockitt,4192458.741,0.04
6676637522,Blancha,Mazey,4962624.442,0.05
8440374478,Rebecka,McTrustram,2484364.524,0.02
1139779162,Ingamar,Critzen,2091272.115,0.04
3781395998,Sheba,Hertwell,4422814.412,0.03
4461910348,Fania,Oguz,115092.34,0.02
6041553527,Agneta,Moyle,1176876.774,0.03
3025295987,Correy,Wrightham,2540122.468,0.01
3602026798,Ivette,Jelfs,3441869.724,0.04
6360475467,Karlik,Gerrell,414311.265,0.01
3220688023,Millicent,MacLardie,4517869.405,0.03
9900315018,Dedra,Byass,4479547.495,0.02
7737760671,Tedmund,Spincks,799191.317,0.04
1585526859,Laverna,McGillivrie,4326188.07,0.03
3894974044,Gardner,Snowding,2438010.228,0.04
8721058577,Rafaello,Kefford,3520541.78,0.04
9305283645,Nickey,Skipton,3076057.564,0.03
1644080520,Adriane,Perrins,2681227.917,0.02
9853679683,Janeczka,Meaddowcroft,3195444.295,0.04
2642645727,Chic,Broadist,842617.201,0.03
1494533552,Saree,Wilford,4508635.15,0.02
1537971889,Sela,Stannett,2361786.004,0.04
3771036675,Holt,Lewnden,4179794.807,0.03
7273936130,Rivi,Minney,4426251.112,0.05
1830925623,Jessie,Smails,3516201.838,0.02
6141341200,Yvonne,Braidon,2997877.766,0.04
2843083284,Wilow,Gout,1210739.629,0.04
6652807432,Mac,Pyle,4185203.139,0.01
8907088796,Lorianna,Ewdale,4770241.054,0.03
2729405635,Korrie,Lepick,4981341.64,0.03
8124155403,Elyssa,Tregenna,2043669.46,0.02
1012418917,Verene,Beviss,666119.958,0.03
4445707272,Dilan,Grafton-Herbert,783390.07,0.02
2441127698,Tailor,Lindfors,187745.731,0.01
5820200490,Eleanor,Stallon,1879760.963,0.02
9492024491,Annabela,O'Boyle,896047.176,0.03
7728729413,Marjy,Bomfield,4555331.81,0.01
9849933769,Sydney,Breewood,2426282.918,0.03
6612372142,Gratiana,Beamiss,172374.31,0.03
4879034786,Brig,Dyble,2800443.463,0.01
5319046112,Bobby,Digman,2410716.832,0.05
1542322026,John,Dron,2085649.503,0.04
4160732265,Lynnett,Blunderfield,584793.77,0.02
2351935983,Web,Lerner,4540651.029,0.04
6543498934,Mollee,Dobrowolski,3571374.157,0.04
9369755853,Wade,Joire,1468039.17,0.03
3552161413,Meris,Ship,1364083.05,0.03
4942144748,Sharleen,Froggatt,3830918.196,0.04
2661721653,Zeb,Boules,2833231.759,0.03
6553699798,Goldy,Dyers,1874247.359,0.02
1431995555,Nelia,Forsaith,2981104.791,0.03
3104350690,Carola,Skirving,3812864.447,0.01
7533314804,Darci,Trank,3992300.573,0.04
1652416783,Belita,Lawtie,4525667.549,0.02
6590920063,Danny,Codron,658846.275,0.03
8402210850,Brooks,Denge,4710830.441,0.02
2820226430,Thornie,Creegan,2687554,0.01
8707716854,Stavro,Shorthouse,1760933.604,0.04
5608188410,Staffard,Harbin,3090115.062,0.03
4402987759,Dawna,Oubridge,2462998.606,0.04
2853560184,Neall,Worrell,1751149.178,0.04
6440664922,Herb,Hendron,3688972.078,0.03
4447843674,Dodie,Jancik,4677927.254,0.02
4999514513,Valle,Ridger,255310.867,0.03
7090254030,Essa,Edyson,4919838.918,0.01
9388880102,Bride,Andriessen,4183291.264,0.05
3263043079,Dara,Carbine,2518846.719,0.02
8438381952,Antonia,Roof,899909.736,0.02
8018403893,Helen,Jolliff,546969.84,0.03
6808824735,Dorothea,Robathon,691499.197,0.03
4807067076,Rita,Orringe,1778344.802,0.04
1646754549,Jeffy,Cheng,4647158.93,0.03
8788222414,Casar,Vanns,2948560.831,0.03
1837731016,Kessia,Bailie,3052826.339,0.03
3996813953,Rici,Whittle,1965016.012,0.03
7708524719,Gavrielle,Rossoni,4973735.104,0.04
9475428574,Geneva,Labeuil,2702170.179,0.03
3829863154,Terrill,Connold,1225711.485,0.03
9224724641,Prue,Gerrie,2013966.685,0.04
6907607185,Biron,Boak,1614482.153,0.04
4641020568,Evania,Kingsly,2872879.171,0.04
4674742065,Angil,Cory,2678026.054,0.01
1514512937,Chrystal,Talmadge,1324282.122,0.05
9004880245,Katha,Teresse,3266892.706,0.03
5900226056,Morgan,Eagleton,4725194.366,0.01
4834303527,Corenda,Denisyev,474584.813,0.05
3302819761,Viviene,Barthrup,3628298.885,0.03
9809201598,Marleen,Beldam,2308982.427,0.02
1912052874,Carlin,Thomen,3187407.991,0.03
2905558146,Arlie,Chichgar,3738988.575,0.04
8478632298,Edouard,Ortell,4573688.167,0.03
6352727246,Yetta,Rabbe,660502.612,0.02
2356684451,Britteny,Ostridge,4778669.19,0.04
8752489376,Darill,Dryburgh,1121487.406,0.04
7507349463,Van,Vosper,3687545.224,0.04
6316789660,Pablo,Livesey,1421756.565,0.03
9850763038,Sayre,Jiggens,2888291.896,0.04
5593014787,Kenton,Coule,611106.133,0.04
7912804593,Broderick,Skowcraft,3698536.703,0.05
4585987265,Wadsworth,Ulyatt,706472.117,0.03
4783322123,Eloise,Prydie,3272384.884,0.05
4943959427,Alfons,Drysdell,926202.716,0.02
6861353631,Tibold,Bonnefin,2544470.502,0.03
8225109398,Annabelle,MacKomb,4602148.456,0.01
9310817670,Marylynne,Haysham,94205.06,0.03
9401162899,Norton,Crauford,2622201.043,0.05
8794347666,Lulita,Braferton,1709047.553,0.05
6750680537,Rooney,Fritzer,1809022.89,0.03
5562587543,Rafaelita,Baroche,4852265.242,0.02
7750011205,Shoshana,Baroc,2156469.604,0.02
7335229567,Fan,Titchener,416099.828,0.01
5261755327,Alexandre,Rosenfield,4781474.568,0.05
9778012465,Kissie,Beckhouse,3044253.253,0.03
2089257661,Fred,Farmery,4406768.966,0.03
9821839159,Lawry,Rhubottom,2381825.302,0.01
5809752453,Mathilda,Walpole,3943281.544,0.03
3912471776,Britta,Scarlan,2868504.268,0.02
6439828558,Arnie,Rodder,4132236.71,0.03
4866671456,Kesley,Boarleyson,3061556.432,0.04
1250964966,Wenda,Rogeron,1920966.326,0.04
6972306965,Francklyn,Creeboe,1141127.547,0.03
4069267846,Serge,Faill,2630216.617,0.04
8945901095,Maitilde,Gascard,1359450.996,0.04
8139536739,Hilliary,Blow,399014.947,0.04
3890237781,Jodee,Faux,2959897.511,0.04
9728225396,Tiertza,Windus,1084651.911,0.04
4577274715,Sidney,Michal,4794157.193,0.04
1159940179,Howey,Quibell,755750.32,0.02
4556704391,Karoline,O'Currane,4498046.15,0.02
8885820667,Shoshana,Minthorpe,2408278.056,0.02
9428929830,Dixie,Weekland,1037944.405,0.04
1813400625,Mufinella,MacCarlich,4278237.998,0.04
1874180476,Lea,Poundford,2826424.264,0.03
5027238007,Megen,Mattiessen,3038704.793,0.04
2299412621,Prent,McDowell,2965886.994,0.02
4195987984,Ignacio,Hunnam,2893163.047,0.02
8175634063,Audrie,Poulglais,3066311.355,0.05
2484686776,Iorgo,Twiddell,3993238.42,0.02
6629612105,Jehu,Gland,1697033.82,0.03
3687913178,Belia,Leedal,2743530.738,0.02
6764004152,Julee,Tunna,2542596.95,0.04
7295764286,Engracia,Degue,2572312.563,0.04
7409506437,Tilda,Debenham,3535096.125,0.03
3949820011,Priscella,Benner,597026.782,0.04
3522852383,Cliff,Haughian,3862028.898,0.04
9027706183,Orel,Baggaley,3431032.133,0.03
